"B00024374";"MAXI CHARGER PEDESTAL/ASP101";"106001491";"";"TETCSV";"Non";"";"";"Non";"";"05/11/2025";"";"0";"10,00";"10,00";"";"20/04/2026";"05/11/2025";"";"Non";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"Disponible";"Etiq_Article.xml";"";"0";"Non";"Non";"";"";"";"";"";"";"";"";"";"";"";"Non";"Non";"0,000";"0";"Non";"Oui";"0";"Non";"Non";"0,00";"0";"5";"0";"0";"0";"0";"0,00";"0";"0";"0";"0";"5";"0";"0";"0";"Non";"";"";"Non";"Non";"Non";"Non";"";"Non";"0";"Non";"0";"0";"Actif";"Stable";"1,00";"0,00";"0,00";"STANDARD";"UNITE";"UNITE";"UNITE";"UNITE";""
"B00024456";"CAPOT BORNE WALL BOX ENOVATES";"1G1T00E100";"CAPOT";"TETCSV";"Non";"";"";"Non";"";"27/11/2025";"";"0";"10,00";"10,00";"";"15/04/2026";"09/04/2026";"";"Non";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"Disponible";"Etiq_Article.xml";"";"0";"Non";"Non";"";"";"";"";"";"";"";"";"";"";"";"Non";"Non";"0,000";"0";"Non";"Oui";"0";"Non";"Non";"0,00";"0";"15";"0";"0";"0";"0";"0,00";"0";"0";"0";"0";"120";"0";"0";"0";"Non";"";"";"Non";"Non";"Non";"Non";"";"Non";"0";"Non";"0";"0";"Actif";"Stable";"1,00";"0,00";"0,00";"STANDARD";"UNITE";"UNITE";"UNITE";"UNITE";""
"B00024654";"EW22-H0010EAC002";"106001884";"";"TETCSV";"Non";"";"";"Non";"Serie";"21/01/2026";"";"0";"10,00";"10,00";"";"21/04/2026";"";"";"Non";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"Disponible";"Etiq_Article.xml";"AUTEL";"0";"Non";"Oui";"";"";"";"";"";"";"";"";"";"";"";"Non";"Non";"0,000";"0";"Non";"Oui";"0";"Non";"Non";"0,00";"0";"28";"0";"0";"0";"0";"2,30";"0";"0";"0";"0";"54";"0";"0";"0";"Non";"";"";"Non";"Oui";"Non";"Oui";"";"Non";"0";"Non";"0";"0";"Actif";"Hausse";"1,00";"0,00";"0,00";"STANDARD";"UNITE";"UNITE";"UNITE";"UNITE";""
"B00025114";"BUNDLE AUTEL MONO COMPLET";"BUNDLE AUTEL MONO COMPLET";"AUTEL";"TETCSV";"Non";"";"";"Non";"";"24/03/2026";"";"0";"10,00";"10,00";"";"";"";"";"Non";"0";"0";"0";"0";"0";"0";"0";"0";"Oui";"Disponible";"Etiq_Article.xml";"";"0";"Non";"Oui";"";"";"";"";"";"";"";"";"";"";"";"Non";"Oui";"6,000";"0";"Non";"Oui";"0";"Non";"Non";"0,00";"0";"0";"0";"0";"0";"0";"0,00";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"";"";"Non";"Non";"Non";"Non";"";"Non";"0";"Non";"0";"0";"Actif";"Stable";"1,00";"0,00";"0,00";"STANDARD";"UNITE";"UNITE";"UNITE";"UNITE";""
"B00025116";"BUNDLE AUTEL TRI COMPLET";"BUNDLE AUTEL TRI COMPLET";"AUTEL";"TETCSV";"Non";"";"";"Non";"";"24/03/2026";"";"0";"10,00";"10,00";"";"";"";"";"Non";"0";"0";"0";"0";"0";"0";"0";"0";"Oui";"Disponible";"Etiq_Article.xml";"";"0";"Non";"Oui";"";"";"";"";"";"";"";"";"";"";"";"Non";"Oui";"8,000";"0";"Non";"Oui";"0";"Non";"Non";"0,00";"0";"0";"0";"0";"0";"0";"0,00";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"";"";"Non";"Non";"Non";"Non";"";"Non";"0";"Non";"0";"0";"Actif";"Stable";"1,00";"0,00";"0,00";"STANDARD";"UNITE";"UNITE";"UNITE";"UNITE";""
"B00025117";"BUNDLE ENOVATES MONO COMPLET 1";"BUNDLE ENOVATES MONO COMPLET 1";"ENOVATES";"TETCSV";"Non";"";"";"Non";"";"24/03/2026";"";"0";"10,00";"10,00";"";"";"";"";"Non";"0";"0";"0";"0";"0";"0";"0";"0";"Oui";"Disponible";"Etiq_Article.xml";"";"0";"Non";"Oui";"";"";"";"";"";"";"";"";"";"";"";"Non";"Oui";"5,000";"0";"Non";"Oui";"0";"Non";"Non";"0,00";"0";"0";"0";"0";"0";"0";"0,00";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"";"";"Non";"Non";"Non";"Non";"";"Non";"0";"Non";"0";"0";"Actif";"Stable";"1,00";"0,00";"0,00";"STANDARD";"UNITE";"UNITE";"UNITE";"UNITE";""
"B00025118";"BUNDLE ENOVATES MONO COMPLET 2";"BUNDLE ENOVATES MONO COMPLET 2";"ENOVATES";"TETCSV";"Non";"";"";"Non";"";"24/03/2026";"";"0";"10,00";"10,00";"";"";"";"";"Non";"0";"0";"0";"0";"0";"0";"0";"0";"Oui";"Disponible";"Etiq_Article.xml";"";"0";"Non";"Oui";"";"";"";"";"";"";"";"";"";"";"";"Non";"Oui";"5,000";"0";"Non";"Oui";"0";"Non";"Non";"0,00";"0";"0";"0";"0";"0";"0";"0,00";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"";"";"Non";"Non";"Non";"Non";"";"Non";"0";"Non";"0";"0";"Actif";"Stable";"1,00";"0,00";"0,00";"STANDARD";"UNITE";"UNITE";"UNITE";"UNITE";""
"B00025119";"BUNDLE ENOVATES TRI COMPLET 1";"BUNDLE ENOVATES TRI COMPLET 1";"ENOVATES";"TETCSV";"Non";"";"";"Non";"";"24/03/2026";"";"0";"10,00";"10,00";"";"";"";"";"Non";"0";"0";"0";"0";"0";"0";"0";"0";"Oui";"Disponible";"Etiq_Article.xml";"";"0";"Non";"Oui";"";"";"";"";"";"";"";"";"";"";"";"Non";"Oui";"5,000";"0";"Non";"Oui";"0";"Non";"Non";"0,00";"0";"0";"0";"0";"0";"0";"0,00";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"";"";"Non";"Non";"Non";"Non";"";"Non";"0";"Non";"0";"0";"Actif";"Stable";"1,00";"0,00";"0,00";"STANDARD";"UNITE";"UNITE";"UNITE";"UNITE";""
"B00025120";"BUNDLE ENOVATES TRI COMPLET 2";"BUNDLE ENOVATES TRI COMPLET 2";"ENOVATES";"TETCSV";"Non";"";"";"Non";"";"24/03/2026";"";"0";"10,00";"10,00";"";"";"";"";"Non";"0";"0";"0";"0";"0";"0";"0";"0";"Oui";"Disponible";"Etiq_Article.xml";"";"0";"Non";"Oui";"";"";"";"";"";"";"";"";"";"";"";"Non";"Oui";"5,000";"0";"Non";"Oui";"0";"Non";"Non";"0,00";"0";"0";"0";"0";"0";"0";"0,00";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"";"";"Non";"Non";"Non";"Non";"";"Non";"0";"Non";"0";"0";"Actif";"Stable";"1,00";"0,00";"0,00";"STANDARD";"UNITE";"UNITE";"UNITE";"UNITE";""
"B00025149";"TOR ENOVATES";"CLIPON80A-COIL-3";"";"TETCSV";"Non";"";"";"Non";"";"27/03/2026";"";"0";"10,00";"10,00";"";"";"";"";"Non";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"Disponible";"Etiq_Article.xml";"";"0";"Non";"Non";"";"";"";"";"";"";"";"";"";"";"";"Non";"Non";"0,000";"0";"Non";"Oui";"0";"Non";"Non";"0,00";"0";"0";"0";"0";"0";"0";"0,00";"0";"0";"0";"0";"0";"0";"0";"0";"Non";"";"";"Non";"Non";"Non";"Non";"";"Non";"0";"Non";"0";"0";"Actif";"Stable";"1,00";"0,00";"0,00";"STANDARD";"UNITE";"UNITE";"UNITE";"UNITE";""
